"subject_id","condition","category","label","selected_group","selected_group_location","selected_group_semantics","selected_concurrent_func","category_complexity","category_function","trial_index"
"b6d6509a-0d91-4083-987d-c42ece984b7c","count","low complexity, low function","blicket","img/stim_lclf_b.png","right","con",1,"low","low",1
"b6d6509a-0d91-4083-987d-c42ece984b7c","count","low complexity, high function","toma","img/stim_lchf_a.png","left","ind",0,"low","high",2
"b6d6509a-0d91-4083-987d-c42ece984b7c","count","high complexity, low function","garn","img/stim_hclf_a.png","right","ind",0,"high","low",3
"b6d6509a-0d91-4083-987d-c42ece984b7c","count","high complexity, high function","zorp","img/stim_hchf_b.png","left","ind",0,"high","high",4
"b6d6509a-0d91-4083-987d-c42ece984b7c","count","medium complexity, medium function","sarel","img/stim_mcmf_b.png","left","con",1,"medium","medium",5
"849d3095-9a35-4d5c-a4e5-0d34ac4916e5","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","ind",0,"low","low",1
"849d3095-9a35-4d5c-a4e5-0d34ac4916e5","count","high complexity, low function","sarel","img/stim_hclf_b.png","left","con",1,"high","low",2
"849d3095-9a35-4d5c-a4e5-0d34ac4916e5","count","low complexity, high function","toma","img/stim_lchf_a.png","right","con",1,"low","high",3
"849d3095-9a35-4d5c-a4e5-0d34ac4916e5","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","left","ind",0,"medium","medium",4
"849d3095-9a35-4d5c-a4e5-0d34ac4916e5","count","high complexity, high function","blicket","img/stim_hchf_a.png","right","ind",0,"high","high",5
"5eacc192-ed62-441f-ba9c-a75f3bf9d0ee","count","high complexity, low function","blicket","img/stim_hclf_b.png","left","con",1,"high","low",1
"5eacc192-ed62-441f-ba9c-a75f3bf9d0ee","count","medium complexity, medium function","zorp","img/stim_mcmf_b.png","right","con",1,"medium","medium",2
"5eacc192-ed62-441f-ba9c-a75f3bf9d0ee","count","high complexity, high function","garn","img/stim_hchf_a.png","right","con",1,"high","high",3
"5eacc192-ed62-441f-ba9c-a75f3bf9d0ee","count","low complexity, low function","toma","img/stim_lclf_a.png","left","ind",0,"low","low",4
"5eacc192-ed62-441f-ba9c-a75f3bf9d0ee","count","low complexity, high function","sarel","img/stim_lchf_b.png","left","con",1,"low","high",5
"595d616e-1cdf-4728-9852-125f56c827e8","count","high complexity, low function","zorp","img/stim_hclf_a.png","right","ind",0,"high","low",1
"595d616e-1cdf-4728-9852-125f56c827e8","count","low complexity, high function","sarel","img/stim_lchf_b.png","right","ind",0,"low","high",2
"595d616e-1cdf-4728-9852-125f56c827e8","count","low complexity, low function","garn","img/stim_lclf_a.png","left","con",1,"low","low",3
"595d616e-1cdf-4728-9852-125f56c827e8","count","high complexity, high function","toma","img/stim_hchf_a.png","right","con",1,"high","high",4
"595d616e-1cdf-4728-9852-125f56c827e8","count","medium complexity, medium function","blicket","img/stim_mcmf_b.png","left","con",1,"medium","medium",5
"4210f544-22cb-4439-a16f-8a57914f1d45","count","low complexity, high function","garn","img/stim_lchf_b.png","right","con",1,"low","high",1
"4210f544-22cb-4439-a16f-8a57914f1d45","count","high complexity, high function","toma","img/stim_hchf_a.png","left","con",1,"high","high",2
"4210f544-22cb-4439-a16f-8a57914f1d45","count","low complexity, low function","sarel","img/stim_lclf_b.png","left","ind",0,"low","low",3
"4210f544-22cb-4439-a16f-8a57914f1d45","count","medium complexity, medium function","blicket","img/stim_mcmf_b.png","right","ind",0,"medium","medium",4
"4210f544-22cb-4439-a16f-8a57914f1d45","count","high complexity, low function","zorp","img/stim_hclf_b.png","right","ind",0,"high","low",5
"4d1ab452-4dc8-481c-a747-322084e2c956","count","high complexity, low function","zorp","img/stim_hclf_a.png","left","ind",0,"high","low",1
"4d1ab452-4dc8-481c-a747-322084e2c956","count","low complexity, low function","toma","img/stim_lclf_b.png","left","con",1,"low","low",2
"4d1ab452-4dc8-481c-a747-322084e2c956","count","medium complexity, medium function","blicket","img/stim_mcmf_b.png","right","ind",0,"medium","medium",3
"4d1ab452-4dc8-481c-a747-322084e2c956","count","high complexity, high function","garn","img/stim_hchf_b.png","left","con",1,"high","high",4
"4d1ab452-4dc8-481c-a747-322084e2c956","count","low complexity, high function","sarel","img/stim_lchf_b.png","right","ind",0,"low","high",5
"436e7be0-d2f6-4016-9493-69432eb58d6d","count","low complexity, high function","blicket","img/stim_lchf_b.png","right","ind",0,"low","high",1
"436e7be0-d2f6-4016-9493-69432eb58d6d","count","high complexity, low function","toma","img/stim_hclf_a.png","right","con",1,"high","low",2
"436e7be0-d2f6-4016-9493-69432eb58d6d","count","high complexity, high function","garn","img/stim_hchf_b.png","left","ind",0,"high","high",3
"436e7be0-d2f6-4016-9493-69432eb58d6d","count","medium complexity, medium function","zorp","img/stim_mcmf_b.png","right","con",1,"medium","medium",4
"436e7be0-d2f6-4016-9493-69432eb58d6d","count","low complexity, low function","sarel","img/stim_lclf_b.png","right","con",1,"low","low",5
"36cbd22a-dad8-4e17-96b1-b449eb33c838","count","high complexity, low function","sarel","img/stim_hclf_a.png","right","con",1,"high","low",1
"36cbd22a-dad8-4e17-96b1-b449eb33c838","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","ind",0,"high","high",2
"36cbd22a-dad8-4e17-96b1-b449eb33c838","count","low complexity, high function","zorp","img/stim_lchf_b.png","left","con",1,"low","high",3
"36cbd22a-dad8-4e17-96b1-b449eb33c838","count","low complexity, low function","toma","img/stim_lclf_a.png","left","con",1,"low","low",4
"36cbd22a-dad8-4e17-96b1-b449eb33c838","count","medium complexity, medium function","garn","img/stim_mcmf_a.png","right","con",1,"medium","medium",5
"ccf5d8f8-aaec-4279-bcc2-dac47f284985","count","low complexity, low function","toma","img/stim_lclf_b.png","right","ind",0,"low","low",1
"ccf5d8f8-aaec-4279-bcc2-dac47f284985","count","low complexity, high function","sarel","img/stim_lchf_b.png","left","con",1,"low","high",2
"ccf5d8f8-aaec-4279-bcc2-dac47f284985","count","high complexity, low function","garn","img/stim_hclf_a.png","right","con",1,"high","low",3
"ccf5d8f8-aaec-4279-bcc2-dac47f284985","count","medium complexity, medium function","zorp","img/stim_mcmf_a.png","left","ind",0,"medium","medium",4
"ccf5d8f8-aaec-4279-bcc2-dac47f284985","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","con",1,"high","high",5
"15b8aa24-89db-4541-ac92-d57ce5768ae3","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","left","ind",0,"medium","medium",1
"15b8aa24-89db-4541-ac92-d57ce5768ae3","count","low complexity, low function","zorp","img/stim_lclf_b.png","right","ind",0,"low","low",2
"15b8aa24-89db-4541-ac92-d57ce5768ae3","count","low complexity, high function","sarel","img/stim_lchf_a.png","left","con",1,"low","high",3
"15b8aa24-89db-4541-ac92-d57ce5768ae3","count","high complexity, low function","toma","img/stim_hclf_a.png","right","con",1,"high","low",4
"15b8aa24-89db-4541-ac92-d57ce5768ae3","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","ind",0,"high","high",5
"7b7c83fb-2ed7-4445-81e7-133335f52510","count","high complexity, high function","sarel","img/stim_hchf_b.png","left","ind",0,"high","high",1
"7b7c83fb-2ed7-4445-81e7-133335f52510","count","high complexity, low function","garn","img/stim_hclf_a.png","left","con",1,"high","low",2
"7b7c83fb-2ed7-4445-81e7-133335f52510","count","low complexity, low function","zorp","img/stim_lclf_b.png","left","con",1,"low","low",3
"7b7c83fb-2ed7-4445-81e7-133335f52510","count","low complexity, high function","toma","img/stim_lchf_b.png","right","ind",0,"low","high",4
"7b7c83fb-2ed7-4445-81e7-133335f52510","count","medium complexity, medium function","blicket","img/stim_mcmf_a.png","right","con",1,"medium","medium",5
"93f7a083-d37d-476e-ae5b-cdb31602a3d2","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","ind",0,"low","low",1
"93f7a083-d37d-476e-ae5b-cdb31602a3d2","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","left","ind",0,"medium","medium",2
"93f7a083-d37d-476e-ae5b-cdb31602a3d2","count","low complexity, high function","toma","img/stim_lchf_b.png","right","ind",0,"low","high",3
"93f7a083-d37d-476e-ae5b-cdb31602a3d2","count","high complexity, low function","sarel","img/stim_hclf_b.png","right","ind",0,"high","low",4
"93f7a083-d37d-476e-ae5b-cdb31602a3d2","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","ind",0,"high","high",5
"a6f375e3-928e-43a0-86c4-646a299726e4","count","low complexity, low function","zorp","img/stim_lclf_b.png","right","ind",0,"low","low",1
"a6f375e3-928e-43a0-86c4-646a299726e4","count","high complexity, low function","toma","img/stim_hclf_a.png","right","ind",0,"high","low",2
"a6f375e3-928e-43a0-86c4-646a299726e4","count","high complexity, high function","sarel","img/stim_hchf_a.png","right","ind",0,"high","high",3
"a6f375e3-928e-43a0-86c4-646a299726e4","count","low complexity, high function","blicket","img/stim_lchf_b.png","right","ind",0,"low","high",4
"a6f375e3-928e-43a0-86c4-646a299726e4","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","left","con",1,"medium","medium",5
"b9015b0a-7e09-42ed-9c3c-d24ac4cbabad","count","high complexity, high function","blicket","img/stim_hchf_b.png","left","ind",0,"high","high",1
"b9015b0a-7e09-42ed-9c3c-d24ac4cbabad","count","high complexity, low function","toma","img/stim_hclf_a.png","right","ind",0,"high","low",2
"b9015b0a-7e09-42ed-9c3c-d24ac4cbabad","count","low complexity, low function","garn","img/stim_lclf_b.png","right","ind",0,"low","low",3
"b9015b0a-7e09-42ed-9c3c-d24ac4cbabad","count","low complexity, high function","sarel","img/stim_lchf_b.png","left","ind",0,"low","high",4
"b9015b0a-7e09-42ed-9c3c-d24ac4cbabad","count","medium complexity, medium function","zorp","img/stim_mcmf_b.png","right","con",1,"medium","medium",5
"b8734af5-88a8-4656-ba1c-bf77e865be2c","count","low complexity, high function","zorp","img/stim_lchf_a.png","right","ind",0,"low","high",1
"b8734af5-88a8-4656-ba1c-bf77e865be2c","count","high complexity, low function","toma","img/stim_hclf_b.png","left","con",1,"high","low",2
"b8734af5-88a8-4656-ba1c-bf77e865be2c","count","high complexity, high function","garn","img/stim_hchf_a.png","left","con",1,"high","high",3
"b8734af5-88a8-4656-ba1c-bf77e865be2c","count","low complexity, low function","blicket","img/stim_lclf_b.png","right","ind",0,"low","low",4
"b8734af5-88a8-4656-ba1c-bf77e865be2c","count","medium complexity, medium function","sarel","img/stim_mcmf_b.png","right","ind",0,"medium","medium",5
"cea26cbc-a9e1-4e84-ac51-ac0d49d4f06b","count","high complexity, low function","sarel","img/stim_hclf_b.png","left","ind",0,"high","low",1
"cea26cbc-a9e1-4e84-ac51-ac0d49d4f06b","count","low complexity, high function","garn","img/stim_lchf_b.png","left","ind",0,"low","high",2
"cea26cbc-a9e1-4e84-ac51-ac0d49d4f06b","count","medium complexity, medium function","toma","img/stim_mcmf_a.png","right","ind",0,"medium","medium",3
"cea26cbc-a9e1-4e84-ac51-ac0d49d4f06b","count","low complexity, low function","zorp","img/stim_lclf_b.png","left","con",1,"low","low",4
"cea26cbc-a9e1-4e84-ac51-ac0d49d4f06b","count","high complexity, high function","blicket","img/stim_hchf_b.png","right","ind",0,"high","high",5
"18873ebf-b936-41b4-8fa5-62bfbd83c08f","count","high complexity, low function","blicket","img/stim_hclf_b.png","left","ind",0,"high","low",1
"18873ebf-b936-41b4-8fa5-62bfbd83c08f","count","medium complexity, medium function","garn","img/stim_mcmf_a.png","right","con",1,"medium","medium",2
"18873ebf-b936-41b4-8fa5-62bfbd83c08f","count","low complexity, high function","toma","img/stim_lchf_a.png","left","ind",0,"low","high",3
"18873ebf-b936-41b4-8fa5-62bfbd83c08f","count","high complexity, high function","zorp","img/stim_hchf_b.png","right","con",1,"high","high",4
