"","subject_id","condition","category","label","selected_group","selected_group_location","selected_group_semantics","selected_concurrent_func","category_complexity","category_function","trial_index"
"1","031e8f18-b7d2-4ec4-abba-8760581a6a13","count","low complexity, low function","blicket","img/stim_lclf_b.png","right","con",1,"low","low",1
"2","031e8f18-b7d2-4ec4-abba-8760581a6a13","count","low complexity, high function","toma","img/stim_lchf_a.png","left","ind",0,"low","high",2
"3","031e8f18-b7d2-4ec4-abba-8760581a6a13","count","high complexity, low function","garn","img/stim_hclf_a.png","right","ind",0,"high","low",3
"4","031e8f18-b7d2-4ec4-abba-8760581a6a13","count","high complexity, high function","zorp","img/stim_hchf_b.png","left","ind",0,"high","high",4
"5","031e8f18-b7d2-4ec4-abba-8760581a6a13","count","medium complexity, medium function","sarel","img/stim_mcmf_b.png","left","con",1,"medium","medium",5
"6","7a70a735-4bf1-4be2-85fd-31874fb22fe4","count","low complexity, low function","zorp","img/stim_lclf_a.png","right","ind",0,"low","low",1
"7","7a70a735-4bf1-4be2-85fd-31874fb22fe4","count","high complexity, low function","sarel","img/stim_hclf_b.png","left","con",1,"high","low",2
"8","7a70a735-4bf1-4be2-85fd-31874fb22fe4","count","low complexity, high function","toma","img/stim_lchf_a.png","right","con",1,"low","high",3
"9","7a70a735-4bf1-4be2-85fd-31874fb22fe4","count","medium complexity, medium function","garn","img/stim_mcmf_b.png","left","ind",0,"medium","medium",4
"10","7a70a735-4bf1-4be2-85fd-31874fb22fe4","count","high complexity, high function","blicket","img/stim_hchf_a.png","right","ind",0,"high","high",5
"11","ffb41d0b-d70a-42c9-b800-e02749ab79f5","count","high complexity, low function","blicket","img/stim_hclf_b.png","left","con",1,"high","low",1
"12","ffb41d0b-d70a-42c9-b800-e02749ab79f5","count","medium complexity, medium function","zorp","img/stim_mcmf_b.png","right","con",1,"medium","medium",2
"13","ffb41d0b-d70a-42c9-b800-e02749ab79f5","count","high complexity, high function","garn","img/stim_hchf_a.png","right","con",1,"high","high",3
"14","ffb41d0b-d70a-42c9-b800-e02749ab79f5","count","low complexity, low function","toma","img/stim_lclf_a.png","left","ind",0,"low","low",4
"15","ffb41d0b-d70a-42c9-b800-e02749ab79f5","count","low complexity, high function","sarel","img/stim_lchf_b.png","left","con",1,"low","high",5
